query_id,seed_stratum,query_string,source,expected_signal,priority,notes
Q01,mafia/organised crime and legal businesses,"(mafia OR \"organized crime\" OR \"criminal organization\") AND (\"legal economy\" OR \"legitimate economy\" OR \"legal business\" OR firm OR company) AND (infiltration OR control OR ownership)",OpenAlex,direct records on organised-crime penetration in legal firms/markets,high,Start with works search + filters by concept and year range
Q02,mafia/organised crime and legal businesses,"(mafia OR \"organized crime\") AND (business OR firms OR enterprise) AND (infiltration OR collusion OR corruption)",Crossref,article-level metadata with DOI for OC-business interface,high,Prefer journal articles with abstract/subject fields
Q03,criminal entrepreneurship and criminal firms,"(\"criminal entrepreneurship\" OR \"criminal firms\" OR \"illegal entrepreneurs\") AND (firm OR company OR market) AND (governance OR strategy)",Semantic Scholar,conceptual/empirical papers on criminal firms and legal-market interface,high,Use citation context for disambiguation
Q04,public procurement and market capture,"(\"organized crime\" OR mafia) AND (\"public procurement\" OR tender OR contracting) AND (capture OR collusion OR corruption)",OpenAlex,direct empirical papers on procurement capture and infiltration,high,Target Italian/European contexts first
Q05,public procurement and market capture,"(mafia OR \"organized crime\") AND (procurement OR \"public works\") AND (infiltration OR allocation)",Crossref,DOI-backed procurement infiltration studies,high,Reject non-scholarly hits
Q06,sectoral infiltration: construction,"(mafia OR \"organized crime\") AND (construction OR \"real estate\") AND (infiltration OR ownership OR laundering)",OpenAlex,sector-specific infiltration records with stable IDs,high,Prioritize article/book chapter with clear sector evidence
Q07,sectoral infiltration: waste,"(\"organized crime\" OR mafia) AND (waste OR \"waste management\") AND (legal market OR company OR procurement)",Semantic Scholar,verified records on waste-sector legal-economy penetration,high,Use title+abstract exactness as filter
Q08,sectoral infiltration: logistics/hospitality,"(\"organized crime\" OR mafia) AND (logistics OR transport OR hospitality) AND (control OR collusion OR infiltration)",OpenAlex,records on sector-specific market control in legal economy,medium,Run after high-priority strata complete
Q09,ownership/governance/corporate control,"(\"organized crime\" OR mafia) AND (\"beneficial ownership\" OR \"corporate control\" OR \"ownership networks\") AND (company OR firm)",Crossref,corporate ownership/control evidence tied to OC infiltration,high,Require stable DOI or secondary ID
Q10,money laundering through legal firms/markets,"(\"money laundering\" OR AML) AND (firm OR company OR market OR enterprise) AND (\"organized crime\" OR mafia)",OpenAlex,records linking laundering channels to legal business structures,high,Prioritize empirical/legal-economy framing
Q11,money laundering through legal firms/markets,"(\"trade-based money laundering\" OR \"professional facilitators\") AND (corporate OR firm OR company)",Semantic Scholar,specific laundering mechanism literature with business vehicles,medium,Use citation graphs to identify seminal papers
Q12,methodological papers,"(\"organized crime\" OR mafia) AND (\"company data\" OR \"judicial records\" OR \"network analysis\" OR \"mixed methods\")",OpenAlex,method papers usable for infiltration measurement strategy,high,Keep contextual but indispensable methods only
Q13,methodological papers,"(\"organized crime\" AND \"social network analysis\") OR (\"judicial data\" AND \"organized crime\")",Crossref,DOI-verified methodological anchors for screening/coding design,medium,Exclude purely generic criminology methods
Q14,identifier resolution,"DOI candidate resolution from shortlisted records",doi.org,final DOI validation for accepted candidates,high,Use only after metadata-source match is stable
