seed_id,title,doi,authors,year,venue,abstract,seed_category,seed_status,reason_for_seed_inclusion,source_basis,added_by,added_at,notes,pre_import_decision,pre_import_audit_note,hold_reason
E0-D002,Mafias on the Move: How Organized Crime Conquers New Territories,,"Varese, Federico",2011,Princeton University Press,,conceptual_theoretical,contextual_seed,Book-level metadata consistent; DOI not required.,clean pre-E0 draft (bibliographic integrity audit),codex,2026-04-29,clean pre-E0,hold_for_manual_review,contextual rationale may be weak,pre_import_decision=hold_for_manual_review
E0-D004,The Oxford Handbook of Organized Crime,,"Paoli, Letizia (ed.)",2014,Oxford University Press,,conceptual_theoretical,contextual_seed,Use chapter-level extraction for final seed precision.,clean pre-E0 draft (bibliographic integrity audit),codex,2026-04-29,clean pre-E0,hold_for_manual_review,contextual rationale may be weak,pre_import_decision=hold_for_manual_review
E0-D025,The Scale and Impacts of Money Laundering,10.4337/9781781007624,"Unger, Brigitte; Ferwerda, Joras",2007,Edward Elgar Publishing,,money_laundering_legal_economy,contextual_seed,Crossref confirms book metadata.,clean pre-E0 draft (bibliographic integrity audit),codex,2026-04-29,clean pre-E0,hold_for_manual_review,contextual rationale may be weak,pre_import_decision=hold_for_manual_review
E0R1-C014,"Italian Mafias, Public Procurement and Public Works in Southern Italy",10.1007/978-3-319-01839-3_33,Caneppele Stefano; Martocchia Sara,2013,"Organized Crime, Corruption and Crime Prevention",,procurement_market_capture,contextual_seed,Verified and directly useful empirical context for infiltration channels.,E0R1 identifier-first discovery + E0R1 candidate quality review,codex,2026-04-29,E0R1 promoted candidate,hold_for_manual_review,passes pre-import checks; contextual imbalance requires justification,pre_import_decision=hold_for_manual_review
E0R1-C019,12 Task Specialization in Organized Crime Groups: Money Laundering and the Montréal Mafia,10.1515/9780228019886-013,Schneider Stephen,2023,Dirty Money,,sectoral_infiltration,contextual_seed,Verified contextual support for E0 framing.,E0R1 identifier-first discovery + E0R1 candidate quality review,codex,2026-04-29,E0R1 promoted candidate,hold_for_manual_review,passes pre-import checks; contextual imbalance requires justification,pre_import_decision=hold_for_manual_review
E0R1-C021,"Organized crime, money laundering, and the real estate market in Canada",10.1080/0959991042000328801,Schneider Stephen,2004,Journal of Property Research,,sectoral_infiltration,contextual_seed,Verified and directly useful empirical context for infiltration channels.,E0R1 identifier-first discovery + E0R1 candidate quality review,codex,2026-04-29,E0R1 promoted candidate,hold_for_manual_review,passes pre-import checks; contextual imbalance requires justification,pre_import_decision=hold_for_manual_review
E0R1-C031,Money laundering and financial crime,10.1007/bf02696272,,1996,Trends in Organized Crime,,laundering_legal_business,contextual_seed,Verified contextual support for E0 framing.,E0R1 identifier-first discovery + E0R1 candidate quality review,codex,2026-04-29,E0R1 promoted candidate,import_after_metadata_fix,missing authors,metadata fix unavailable from verified sources
E0R1-C034,Trade‐Based Money Laundering Techniques: Invoice Fraud,10.1002/9781119125389.ch2,,2015,Trade‐Based Money Laundering,,laundering_legal_business,contextual_seed,Verified laundering mechanism evidence relevant to legal-market channels.,E0R1 identifier-first discovery + E0R1 candidate quality review,codex,2026-04-29,E0R1 promoted candidate,import_after_metadata_fix,missing authors; contextual rationale may be weak,metadata fix unavailable from verified sources
E0R1-C035,The Trade-Based Money Laundering Concept,10.4324/9781003533429-2,Marzouk Mariola; Hock Branislav,2026,Trade-Based Money Laundering,,laundering_legal_business,contextual_seed,Verified laundering mechanism evidence relevant to legal-market channels.,E0R1 identifier-first discovery + E0R1 candidate quality review,codex,2026-04-29,E0R1 promoted candidate,hold_for_manual_review,contextual rationale may be weak,pre_import_decision=hold_for_manual_review
E0R1-C036,International trade mispricing: trade-based money laundering and tax evasion,10.4337/9780857934000.00031,Zdanowicz John S.,2013,Research Handbook on Money Laundering,,laundering_legal_business,contextual_seed,Verified laundering mechanism evidence relevant to legal-market channels.,E0R1 identifier-first discovery + E0R1 candidate quality review,codex,2026-04-29,E0R1 promoted candidate,hold_for_manual_review,contextual rationale may be weak,pre_import_decision=hold_for_manual_review
E0R1-C038,Organized Crime Networks: an Application of Network Analysis Techniques to the American Mafia,10.1515/1446-9022.1324,Mastrobuoni Giovanni; Patacchini Eleonora,2012,Review of Network Economics,,methodological,contextual_seed,Indispensable methodological support for organised-crime network inference.,E0R1 identifier-first discovery + E0R1 candidate quality review,codex,2026-04-29,E0R1 promoted candidate,hold_for_manual_review,contextual rationale may be weak,pre_import_decision=hold_for_manual_review
